category,price_range,weight,processor,operating_system,hard_drive,optical_drive,memory,price
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,320GB,CD_DVD +RW,4GB,339.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,320GB,CD_DVD +RW,3GB,259.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,320GB,CD_DVD +RW,4GB,329.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,320GB,CD_DVD +RW,3GB,269.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,320GB,CD_DVD +RW,2GB,359.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,320GB,CD_DVD +RW,2GB,389.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,320GB,CD_DVD +RW,2GB,379.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,320GB,CD_DVD +RW,4GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,320GB,CD_DVD +RW,3GB,319.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,250GB,CD_DVD +RW,2GB,279.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,250GB,CD_DVD +RW,3GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,250GB,CD_DVD +RW,3GB,349.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,250GB,CD_DVD +RW,2GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,160GB,CD_DVD +RW,3GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,160GB,CD_DVD +RW,2GB,319.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,160GB,CD_DVD +RW,2GB,369.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,160GB,CD_DVD +RW,3GB,319.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,250GB,CD_DVD +RW,4GB,269.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,250GB,CD_DVD +RW,4GB,279.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,160GB,CD_DVD +RW,4GB,399.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,160GB,CD_DVD +RW,4GB,349.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,250GB,CD_DVD +RW,4GB,289.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,160GB,CD_DVD +RW,4GB,369.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,250GB,CD_DVD +RW,2GB,289.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,250GB,CD_DVD +RW,3GB,379.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,160GB,CD_DVD +RW,2GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,160GB,CD_DVD +RW,3GB,349.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,500GB,CD_DVD +RW,2GB,319.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,500GB,CD_DVD +RW,3GB,329.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 8,500GB,CD_DVD +RW,4GB,329.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,500GB,CD_DVD +RW,3GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,500GB,CD_DVD +RW,2GB,319.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 8,500GB,CD_DVD +RW,4GB,399.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,500GB,CD_DVD +RW,2GB,369.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,500GB,CD_DVD +RW,3GB,369.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 8,500GB,CD_DVD +RW,4GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,250GB,CD_DVD +RW,3GB,369.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,250GB,CD_DVD +RW,2GB,299.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,250GB,CD_DVD +RW,4GB,389.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,250GB,CD_DVD +RW,2GB,289.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,250GB,CD_DVD +RW,2GB,379.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,250GB,CD_DVD +RW,3GB,339.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,250GB,CD_DVD +RW,3GB,399.0
Inspiron Laptops,Less than $400,Light,Intel Pentium Dual core,Windows 7,250GB,CD_DVD +RW,4GB,399.0
Inspiron Laptops,Less than $400,Light,Intel Core 2 Duo,Windows 7,250GB,CD_DVD +RW,4GB,289.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,500GB,CD_DVD +RW,2GB,259.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,500GB,CD_DVD +RW,3GB,389.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,320GB,CD_DVD +RW,2GB,399.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,320GB,CD_DVD +RW,3GB,339.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,160GB,CD_DVD +RW,3GB,309.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,160GB,CD_DVD +RW,2GB,259.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,320GB,CD_DVD +RW,4GB,329.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,160GB,CD_DVD +RW,4GB,359.0
Inspiron Laptops,Less than $400,Light,Intel Celeron,Windows 7,500GB,CD_DVD +RW,4GB,379.0
